student_id,date,status
1001,2025-09-10,Present
1002,2025-09-10,Present
1003,2025-09-10,Absent
1004,2025-09-10,Absent
1005,2025-09-10,Present
1006,2025-09-10,Present
1007,2025-09-10,Present
1008,2025-09-10,Absent
1009,2025-09-10,Present
1010,2025-09-10,Absent
1011,2025-09-10,Present
1012,2025-09-10,Present
1013,2025-09-10,Absent
1014,2025-09-10,Present
1015,2025-09-10,Present
1016,2025-09-10,Present
1017,2025-09-10,Absent
1018,2025-09-10,Present
1019,2025-09-10,Absent
1020,2025-09-10,Present
1021,2025-09-10,Absent
1022,2025-09-10,Present
1023,2025-09-10,Absent
1024,2025-09-10,Absent
1025,2025-09-10,Absent
1026,2025-09-10,Absent
1027,2025-09-10,Present
1028,2025-09-10,Present
1029,2025-09-10,Absent
1030,2025-09-10,Absent
1031,2025-09-10,Present
1032,2025-09-10,Absent
1033,2025-09-10,Absent
1034,2025-09-10,Present
1035,2025-09-10,Present
1036,2025-09-10,Absent
1037,2025-09-10,Absent
1038,2025-09-10,Absent
1039,2025-09-10,Present
1040,2025-09-10,Absent
1041,2025-09-10,Absent
1042,2025-09-10,Absent
1043,2025-09-10,Present
1044,2025-09-10,Present
1045,2025-09-10,Present
1046,2025-09-10,Present
1047,2025-09-10,Absent
1048,2025-09-10,Present
1049,2025-09-10,Present
1050,2025-09-10,Present
1051,2025-09-10,Absent
1052,2025-09-10,Present
1053,2025-09-10,Absent
1054,2025-09-10,Present
1055,2025-09-10,Absent
1056,2025-09-10,Absent
1057,2025-09-10,Absent
1058,2025-09-10,Present
1059,2025-09-10,Present
1060,2025-09-10,Absent
1061,2025-09-10,Absent
1062,2025-09-10,Present
1063,2025-09-10,Absent
1064,2025-09-10,Absent
1065,2025-09-10,Present
1066,2025-09-10,Present
1067,2025-09-10,Present
1068,2025-09-10,Absent
1069,2025-09-10,Absent
1070,2025-09-10,Absent
1071,2025-09-10,Present
1072,2025-09-10,Absent
1073,2025-09-10,Absent
1074,2025-09-10,Absent
1075,2025-09-10,Absent
1076,2025-09-10,Absent
1077,2025-09-10,Present
1078,2025-09-10,Absent
1079,2025-09-10,Absent
1080,2025-09-10,Present
1081,2025-09-10,Absent
1082,2025-09-10,Absent
1083,2025-09-10,Absent
1084,2025-09-10,Present
1085,2025-09-10,Absent
1086,2025-09-10,Absent
1087,2025-09-10,Present
1088,2025-09-10,Present
1089,2025-09-10,Present
1090,2025-09-10,Present
1091,2025-09-10,Present
1092,2025-09-10,Present
1093,2025-09-10,Present
1094,2025-09-10,Absent
1095,2025-09-10,Present
1096,2025-09-10,Present
1097,2025-09-10,Present
1098,2025-09-10,Present
